獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號
6,11,16,18,23,27,29,30,34,35,40,43,44,47,59,62,72,73,75,77,59
9,22,23,24,25,28,30,32,33,34,35,40,45,48,49,53,56,60,67,77,77
5,16,17,24,26,32,36,41,43,51,56,57,59,62,64,68,69,70,75,79,5
2,6,12,13,14,20,25,28,32,33,34,44,46,51,53,60,71,75,77,79,79
5,8,15,17,21,22,33,39,41,42,44,45,46,47,48,61,66,67,74,77,61
4,5,17,22,28,35,39,40,43,46,49,53,56,58,62,65,66,67,75,76,40
1,2,3,11,16,18,19,20,21,24,26,37,50,53,58,62,68,72,77,80,26
2,12,16,18,19,20,21,28,30,32,33,35,37,39,41,46,47,54,57,70,28
1,3,16,22,23,27,28,31,36,44,46,49,51,59,64,69,73,74,75,79,73
6,10,12,16,18,20,21,22,23,26,40,41,44,46,47,55,62,64,73,77,44
6,11,12,14,20,32,33,36,41,45,47,49,51,52,57,58,65,69,72,77,47
1,2,9,12,14,15,17,25,30,38,39,44,47,52,54,55,56,62,63,78,55
2,3,10,12,24,26,31,33,37,39,42,43,45,48,50,52,61,65,67,72,61
10,11,16,21,22,29,32,40,42,49,51,54,57,60,61,63,65,75,77,80,21
2,8,9,12,14,18,21,24,27,29,33,41,49,53,57,58,63,64,79,80,80
5,8,11,15,27,28,31,32,40,52,53,54,60,61,66,69,71,76,77,80,54
1,3,8,13,17,23,27,28,34,39,49,53,56,59,61,63,67,68,75,76,56
9,14,16,33,35,36,37,42,49,50,52,53,56,61,63,67,74,75,77,80,74
2,4,7,9,12,13,19,20,28,31,34,37,43,44,51,65,67,68,69,80,31
2,4,11,12,13,15,25,28,33,43,44,49,50,57,58,63,70,75,76,79,25
2,4,9,17,25,30,32,41,52,53,58,60,63,65,68,69,71,73,78,80,71
4,6,7,9,16,18,19,26,36,45,46,47,55,59,62,66,68,72,78,79,59
1,3,4,5,12,13,22,26,33,39,40,46,47,48,51,55,66,71,72,79,66
1,7,8,17,19,36,37,38,39,40,41,43,50,57,59,67,70,74,75,78,67
3,4,9,11,28,30,32,36,45,47,48,52,54,59,64,65,66,68,71,73,47
1,6,9,17,23,24,37,40,47,50,52,56,65,68,70,72,73,74,75,77,37
4,5,6,13,15,17,30,33,35,41,42,44,45,51,56,63,70,73,76,79,17
5,7,9,10,11,15,17,30,31,34,38,47,50,56,59,65,67,72,76,78,67
3,4,13,14,17,19,20,21,24,29,32,41,42,44,45,49,50,65,66,77,49
1,5,10,17,24,29,34,35,37,40,45,46,49,54,55,56,63,70,74,80,56
17,26,27,28,30,33,39,40,41,42,43,47,48,54,56,58,59,63,66,74,17
6,7,18,19,29,33,35,39,42,45,47,49,53,57,58,59,60,63,73,75,29
6,7,8,11,20,25,27,28,42,43,47,49,51,53,56,58,60,65,68,78,47
2,18,19,22,25,27,32,36,37,38,42,50,51,59,62,63,65,72,78,80,25
8,9,12,22,29,31,38,39,41,44,47,50,63,66,68,69,73,77,78,79,31
5,8,9,10,11,12,15,21,23,25,28,29,30,33,36,52,67,69,72,79,72
3,18,20,22,24,25,30,45,46,48,51,52,56,57,65,68,70,75,76,80,56
2,4,12,15,18,19,21,25,37,41,42,47,51,59,60,63,65,74,77,78,18
2,3,12,14,19,25,26,30,35,37,41,44,53,55,58,59,64,66,75,76,53
1,9,16,17,26,32,33,35,36,37,40,41,51,55,56,63,66,73,77,80,66
5,6,12,20,24,27,30,32,39,44,46,47,50,51,58,61,69,73,78,79,27
